DAUID,ONS_ID,intersect_pct
35061134,67,0.009
35061134,70,0.188
35061134,85,0.787
35061134,944,0.015
35060338,24,1
35061481,918,1
35061501,30,0.757
35061501,911,0.243
35061507,922,0.815
35061507,930,0.185
35061125,70,1
35061122,955,1
35061142,70,0.496
35061142,944,0.504
35061788,908,0.695
35061788,949,0.305
35061792,908,1
35061912,944,1
35060006,909,0.242
35060006,916,0.758
35060007,916,0.466
35060007,936,0.534
35060010,920,1
35060011,920,1
35060012,920,1
35060014,920,1
35060015,943,1
35060016,943,1
35060017,943,1
35060018,943,1
35060019,943,1
35060101,913,0.31
35060101,939,0.69
35060102,939,1
35060103,939,1
35060104,939,1
35060105,939,1
35060106,913,0.007
35060106,939,0.993
35060107,913,0.836
35060107,939,0.164
35060108,915,1
35060109,915,1
35060110,915,1
35060111,915,1
35060020,943,1
35060021,943,1
35060022,943,1
35060023,920,1
35060024,920,1
35061133,85,1
35061135,67,1
35061136,67,1
35061137,67,1
35061138,67,1
35061140,67,1
35061454,66,1
35060739,902,0.994
35060739,928,0.006
35060740,902,1
35060741,902,1
35060742,902,1
35060743,902,1
35060744,902,1
35060745,902,1
35060746,902,0.797
35060746,907,0.203
35060747,907,0.001
35060747,928,0.999
35060748,902,1
35060749,902,1
35060750,929,1
35060751,924,1
35060752,924,1
35061234,904,1
35061235,904,1
35061236,904,1
35061237,904,1
35061238,904,1
35061377,35,1
35061247,50,1
35061248,49,1
35061249,49,1
35061250,932,1
35061251,919,1
35061252,16,1
35061253,11,0.002
35061253,28,0.861
35061253,31,0.137
35061254,12,0.199
35061254,88,0.801
35061256,906,1
35061257,931,0.541
35061257,958,0.459
35061261,933,1
35061263,953,1
35061502,30,0.829
35061502,911,0.171
35060555,49,1
35060556,49,1
35060043,920,1
35060044,920,1
35061378,911,0.602
35061378,35,0.398
35061379,911,1
35061380,911,1
35061381,911,1
35061382,911,1
35061383,911,0.828
35061383,35,0.172
35061384,35,1
35061385,35,1
35061455,66,1
35061456,66,1
35061457,66,1
35061458,66,1
35061459,66,1
35061460,66,1
35061461,81,1
35061462,81,1
35061463,81,1
35061239,904,1
35061240,904,0.998
35061240,926,0.002
35061241,904,1
35061242,904,0.999
35061242,926,0.001
35061243,904,1
35060095,913,1
35060096,913,1
35060097,913,1
35060098,913,1
35060099,913,1
35060100,913,0.011
35060100,939,0.989
35060641,906,1
35060642,906,1
35060643,906,1
35060644,906,1
35060025,920,1
35060026,920,1
35060027,920,1
35060028,920,1
35060029,920,1
35060030,920,1
35060031,920,1
35060645,906,1
35060646,906,1
35060647,901,0.994
35060647,906,0.006
35060648,901,1
35060649,106,0.041
35060649,901,0.959
35060653,32,1
35060654,32,1
35060655,32,1
35060656,32,1
35060657,32,1
35060662,907,1
35060663,907,1
35060668,911,1
35060197,953,1
35060198,953,1
35060199,953,1
35060200,953,1
35060201,953,1
35060202,953,1
35060032,920,1
35060033,920,1
35060034,920,1
35060035,920,1
35060036,920,1
35060037,920,1
35060038,920,1
35060039,920,1
35060205,953,1
35060206,953,1
35060207,71,0.007
35060207,953,0.993
35060208,953,1
35060209,5,0.035
35060209,71,0.034
35060209,953,0.931
35060210,5,0.044
35060210,953,0.956
35060211,933,0.001
35060211,948,0.999
35060213,933,0.993
35060213,948,0.007
35060219,933,1
35060220,933,1
35060221,933,1
35060222,948,1
35060223,948,1
35060736,928,1
35060737,928,1
35060738,902,0.971
35060738,928,0.029
35060070,939,1
35060071,939,1
35060072,939,1
35060073,913,0.006
35060073,939,0.994
35060074,913,0.007
35060074,939,0.993
35060075,939,1
35060076,939,1
35060078,913,1
35060079,913,1
35060080,913,1
35060081,913,1
35060082,913,1
35060083,913,1
35060119,915,1
35060120,915,1
35060121,915,1
35060122,915,1
35060123,915,1
35060064,943,1
35060065,943,1
35060066,943,1
35060067,943,1
35060124,915,1
35060125,76,1
35060126,915,1
35060127,939,0.675
35060127,943,0.325
35060128,939,1
35060129,939,0.555
35060129,943,0.445
35060132,915,1
35060005,909,0.014
35060005,916,0.986
35060069,939,1
35060089,918,0.284
35060089,904,0.541
35060089,926,0.175
35060090,913,1
35060091,913,1
35060092,913,1
35060093,913,1
35060094,913,1
35060112,915,1
35060116,915,1
35060117,915,1
35060118,915,1
35060045,920,1
35060047,76,1
35060048,76,1
35060049,76,1
35060050,76,1
35060051,76,1
35060052,943,1
35060053,943,1
35060054,943,1
35060055,943,1
35060056,943,1
35060057,943,1
35060058,943,1
35060059,943,1
35060061,943,1
35060062,943,1
35060001,916,1
35060002,916,1
35060003,916,1
35060518,905,1
35060519,905,1
35060520,905,1
35060521,905,1
35060522,905,1
35060523,905,0.813
35060523,941,0.187
35060524,905,0.005
35060524,941,0.995
35060525,905,0.009
35060525,941,0.991
35060526,941,0.524
35060526,950,0.476
35060527,941,0.001
35060527,950,0.999
35060529,950,1
35060530,950,1
35060531,28,0.768
35060531,950,0.232
35060533,28,0.895
35060533,950,0.105
35060534,16,1
35060535,16,0.745
35060535,941,0.255
35060538,16,1
35060539,16,1
35060544,51,0.007
35060544,905,0.993
35060547,927,1
35060551,927,1
35060553,49,1
35060554,49,1
35061044,903,1
35061288,100,1
35061289,106,0.948
35061289,901,0.052
35061290,929,1
35061291,919,1
35061292,919,1
35061293,919,1
35061294,108,1
35061295,46,0.999
35061295,919,0.001
35061296,909,0.001
35061296,920,0.999
35061297,920,1
35061298,76,1
35061299,76,1
35061300,11,1
35061301,31,1
35061302,23,1
35061303,23,1
35061304,951,1
35061305,951,1
35061306,951,1
35061307,912,1
35061308,912,0.674
35061308,940,0.326
35061309,920,1
35061310,920,1
35061311,909,0.997
35061311,920,0.003
35061312,909,0.782
35061312,920,0.218
35061313,920,1
35061314,920,1
35061315,52,1
35061316,52,1
35061317,45,0.091
35061317,52,0.909
35061318,52,1
35061319,932,1
35061320,932,1
35061321,46,1
35061322,46,1
35061323,100,1
35060968,919,0.792
35060968,947,0.208
35060970,947,1
35060972,947,1
35060973,917,1
35060974,940,1
35060975,940,1
35061367,29,1
35061368,29,1
35061369,29,1
35061370,922,0.001
35061370,29,0.999
35060388,47,1
35060389,47,1
35060390,47,1
35061371,922,0.465
35061371,29,0.021
35061371,35,0.514
35061372,29,1
35061373,35,1
35061374,35,1
35061375,35,1
35061376,35,1
35060468,31,1
35060469,31,1
35060471,11,1
35060474,11,1
35060475,54,1
35060476,54,1
35060479,54,1
35060480,54,1
35060481,54,1
35060482,23,0.008
35060482,54,0.992
35060483,12,1
35060484,12,0.885
