iteration,metric,value
1,mae,69.35185185185185
2,mae,69.35185185185185
3,mae,69.35185185185185
4,mae,69.35185185185185
5,mae,69.35185185185185
6,mae,69.35185185185185
7,mae,69.35185185185185
8,mae,69.35185185185185
9,mae,69.35185185185185
10,mae,69.35185185185185
11,mae,69.35185185185185
12,mae,69.35185185185185
13,mae,69.35185185185185
14,mae,69.35185185185185
15,mae,69.35185185185185
16,mae,69.35185185185185
17,mae,69.35185185185185
18,mae,69.35185185185185
19,mae,69.35185185185185
20,mae,69.35185185185185
21,mae,69.35185185185185
22,mae,69.35185185185185
23,mae,69.35185185185185
24,mae,69.35185185185185
25,mae,69.35185185185185
26,mae,69.35185185185185
27,mae,69.35185185185185
28,mae,69.35185185185185
29,mae,69.35185185185185
30,mae,69.35185185185185
31,mae,69.35185185185185
32,mae,69.35185185185185
33,mae,69.35185185185185
34,mae,69.35185185185185
35,mae,69.35185185185185
36,mae,69.35185185185185
37,mae,69.35185185185185
38,mae,69.35185185185185
39,mae,69.35185185185185
40,mae,69.35185185185185
41,mae,69.35185185185185
42,mae,69.35185185185185
43,mae,69.35185185185185
44,mae,69.35185185185185
45,mae,69.35185185185185
46,mae,69.35185185185185
47,mae,69.35185185185185
48,mae,69.35185185185185
49,mae,69.35185185185185
50,mae,69.35185185185185
51,mae,69.35185185185185
52,mae,69.35185185185185
53,mae,69.35185185185185
54,mae,69.35185185185185
55,mae,69.35185185185185
56,mae,69.35185185185185
57,mae,69.35185185185185
58,mae,69.35185185185185
59,mae,69.35185185185185
60,mae,69.35185185185185
61,mae,69.35185185185185
62,mae,69.35185185185185
63,mae,69.35185185185185
64,mae,69.35185185185185
65,mae,69.35185185185185
66,mae,69.35185185185185
67,mae,69.35185185185185
68,mae,69.35185185185185
69,mae,69.35185185185185
70,mae,69.35185185185185
71,mae,69.35185185185185
72,mae,69.35185185185185
73,mae,69.35185185185185
74,mae,69.35185185185185
75,mae,69.35185185185185
76,mae,69.35185185185185
77,mae,69.35185185185185
78,mae,69.35185185185185
79,mae,69.35185185185185
80,mae,69.35185185185185
81,mae,69.35185185185185
82,mae,69.35185185185185
83,mae,69.35185185185185
84,mae,69.35185185185185
85,mae,69.35185185185185
86,mae,69.35185185185185
87,mae,69.35185185185185
88,mae,69.35185185185185
89,mae,69.35185185185185
90,mae,69.35185185185185
91,mae,69.35185185185185
92,mae,69.35185185185185
93,mae,69.35185185185185
94,mae,69.35185185185185
95,mae,69.35185185185185
96,mae,69.35185185185185
97,mae,69.35185185185185
98,mae,69.35185185185185
99,mae,69.35185185185185
100,mae,69.35185185185185
101,mae,69.35185185185185
102,mae,69.35185185185185
103,mae,69.35185185185185
104,mae,69.35185185185185
105,mae,69.35185185185185
106,mae,69.35185185185185
107,mae,69.35185185185185
108,mae,69.35185185185185
109,mae,69.35185185185185
110,mae,69.35185185185185
111,mae,69.35185185185185
