iteration,metric,value
1,mse,97295.60185185185
2,mse,97223.37962962964
3,mse,97223.37962962964
4,mse,96414.12037037036
5,mse,96268.28703703704
6,mse,96205.32407407407
7,mse,96205.32407407407
8,mse,92821.52777777778
9,mse,90053.00925925926
10,mse,67074.30555555556
11,mse,64367.82407407407
12,mse,64367.82407407407
13,mse,59814.12037037037
14,mse,59389.12037037037
15,mse,59286.34259259259
16,mse,52947.916666666664
17,mse,52894.67592592593
18,mse,52894.67592592593
19,mse,52894.67592592593
20,mse,50894.67592592593
21,mse,50894.67592592593
22,mse,48781.25
23,mse,48781.25
24,mse,48522.916666666664
25,mse,48522.916666666664
26,mse,48522.916666666664
27,mse,48309.02777777778
28,mse,48309.02777777778
29,mse,48309.02777777778
30,mse,48309.02777777778
31,mse,48309.02777777778
32,mse,48309.02777777778
33,mse,43251.15740740741
34,mse,43251.15740740741
35,mse,43155.32407407407
36,mse,43155.32407407407
37,mse,42955.32407407407
38,mse,41730.32407407407
39,mse,41730.32407407407
40,mse,41730.32407407407
41,mse,41361.805555555555
42,mse,41361.805555555555
43,mse,41361.805555555555
44,mse,41218.28703703704
45,mse,41218.28703703704
46,mse,41218.28703703704
47,mse,40951.62037037037
48,mse,33041.898148148146
49,mse,31475.23148148148
50,mse,31475.23148148148
51,mse,27971.064814814814
52,mse,27971.064814814814
53,mse,27971.064814814814
54,mse,27971.064814814814
55,mse,27971.064814814814
56,mse,27971.064814814814
57,mse,27971.064814814814
58,mse,27971.064814814814
59,mse,27971.064814814814
60,mse,27971.064814814814
61,mse,27971.064814814814
62,mse,27945.13888888889
63,mse,27945.13888888889
64,mse,27916.435185185186
65,mse,27916.435185185186
66,mse,27916.435185185186
67,mse,27916.435185185186
68,mse,27410.87962962963
69,mse,27410.87962962963
70,mse,27410.87962962963
71,mse,25355.324074074073
72,mse,25233.10185185185
73,mse,25233.10185185185
74,mse,25233.10185185185
75,mse,25233.10185185185
76,mse,25191.435185185186
77,mse,25119.212962962964
78,mse,25119.212962962964
79,mse,25119.212962962964
80,mse,25119.212962962964
81,mse,25119.212962962964
82,mse,25119.212962962964
83,mse,25119.212962962964
84,mse,24182.175925925927
85,mse,24182.175925925927
86,mse,24038.65740740741
87,mse,24038.65740740741
88,mse,23864.12037037037
89,mse,23864.12037037037
90,mse,23703.00925925926
91,mse,23703.00925925926
92,mse,18566.89814814815
93,mse,18566.89814814815
94,mse,18566.89814814815
95,mse,18566.89814814815
96,mse,18566.89814814815
97,mse,18566.89814814815
98,mse,18566.89814814815
99,mse,18566.89814814815
100,mse,18566.89814814815
101,mse,18566.89814814815
102,mse,18566.89814814815
103,mse,18566.89814814815
104,mse,18566.89814814815
105,mse,18566.89814814815
106,mse,18566.89814814815
107,mse,17380.787037037036
108,mse,17380.787037037036
109,mse,17380.787037037036
110,mse,17313.65740740741
111,mse,17313.65740740741
